阿贝尔	N. H. Abel	(1802-1829)
阿波罗尼奥斯	Apollonius of Perga,	(约公元前 262-约前 190)
阿布·卡米勒	Abū Kāmil	(约850-约930)
阿布·瓦法	Abu'l-Wafa 	(940-997?)
阿达马	J. Hadamard	(1865-1963)
阿德拉德	Adelard of Bath	(约 1080-约1152)
阿蒂亚	M. F. Atiyah	(1929-2019)
阿多	I. D. Ado	(1910-1983)
阿尔巴内塞	G. Albanese	(1890-1947)
阿尔贝蒂	L. B. Alberti	(1404-1472)
阿尔伯特	A. A. Albert	(1905-1972)
阿尔福斯	L. V. Ahlfors	(1907-1996)
阿尔冈	R. Argand	(1768-1822)
阿尔泽拉	C. Arzelà 	(1847-1912)
阿基米德	Archimedes	(公元前287-前212)
阿克曼	W. F. Ackermann	(1896-1962)
阿罗	K. J. Arrow	(1921-2017)
阿涅西	M. Agnesi	(1718-1799)
阿诺尔德	V. I. Arnol'd 	(1937-2010)
阿诺索夫	D. V. Anosov	(1936-2014)
阿佩尔	K. Appel	(1932-2013)
阿佩尔	P. -E. Appell	(1855-1930)
阿契塔斯	Archytas	(约公元前375)
阿斯基	R. A. Askey	(1933-)
阿廷	E. Artin	(1898-1962)
阿耶波多第一	Aryabhata I	(476-约550)
埃尔德什	P. Erdös	(1913-1996)
埃尔米特	C. Hermite	(1822-1901)
埃拉托色尼	Eratosthenes	(约公元前 276-约前195)
埃雷斯曼	C. Ehresmann	(1905-1979)
艾里	G. B. Airy	(1801-1892)
艾伦伯格	S. Eilenberg	(1913-1998)
艾伦多弗	C. B. Allendoerfer	(1911-1974)
艾森哈特	L. P. Eisenhart	(1876-1965)
艾森斯坦	F. G. M. Eisenstein	(1823-1852)
艾特肯	A. C. Aitken	(1895-1967)
爱因斯坦	A. Einstein	(1879-1955)
安岛直圆	Ajima Naonobu	(约1732-1798)
安德森	T. W. Anderson	(1918-2016)
安蒂丰	Antiphon	(约公元前480-前411)
安纳萨哥拉斯	Anaxagoras	(约公元前 500-前428)
安培	A. -M. Ampére	(1775-1836)
安托尼兹	A. Anthonisz	(1527-1607)
奥布霍夫	A. M. Obuhov	(1918-1989)
奥恩斯坦	D. S. Ornstein	(1934-)
奥尔	O. Ore	(1899-1968)
奥尔利奇	W. Orlicz	(1903-1990)
奥昆科夫	A. Y. Okounkov	(1969-)
奥雷姆	N. Oresme	(1323?-1382)
奥伦	O. O. Aalen	(1947- )
奥马·海亚姆	Omar Khayyam(或 Al-Khayyāmī)	(约1048-1131)
奥斯古德	W. Osgood	(1864-1943)
奥斯特罗格拉茨基	M. V. Ostrogradsky	(1801-1862)
奥特雷德	W. Oughtred	(1575-1660)
奥托	V. Otto	(约1550-1605)
巴贝奇	C. Babbage	(1792-1871)
